[2025-06-05 20:22:36] [INFO    ] discord.client: logging in using static token
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1379850740423458826', 'username': 'Sentinel', 'avatar': '6357efd974bd2a509d1ab7de39d8b76c', 'discriminator': '6194', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '6b65106a8a5bc9898d32e18143e649a7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-05 20:22:37] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1379850740423458826', 'name': 'Sentinel', 'icon': '6357efd974bd2a509d1ab7de39d8b76c', 'description': '🛡️ ┃》》》》》》》》》》》》》》》》\n          • Sentinel Bot – Guardian of RKO\n\n📁 ┃》》》》》》》》》》》》》》》》\n          • Serving the CZ/SK gaming \n            community\n          • Built to support fair play.\n\n📌 ┃》》》》》》》》》》》》》》》》\n          • Trusted by RKO. \n          • Respect the rules or face the \n            Sentinel.', 'type': None, 'bot': {'id': '1379850740423458826', 'username': 'Sentinel', 'avatar': '6357efd974bd2a509d1ab7de39d8b76c', 'discriminator': '6194', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '6b65106a8a5bc9898d32e18143e649a7', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'a884fe14fdcd248ec28419aa7c6dc151f0ce08dba28926e94c42ec470af9c8db', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '718381737222209547', 'username': 'mftoms', 'avatar': '823d28047dd24b0b9f38cd871e00c8ea', 'discriminator': '0', 'public_flags': 4194560, 'flags': 4194560, 'banner': 'f18920752089c45b4754e036e212d98f', 'accent_color': 2818267, 'global_name': 'MFToms', 'avatar_decoration_data': {'asset': 'a_3c97a2d37f433a7913a1c7b7a735d000', 'sku_id': '1144308439720394944', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1349849614227865711', 'asset': 'nameplates/nameplates/koi_pond/', 'label': 'COLLECTIBLES_NAMEPLATES_KOI_POND_A11Y', 'palette': 'sky'}}, 'banner_color': '#2b00db', 'clan': {'identity_guild_id': '1216429758431232150', 'identity_enabled': True, 'tag': '^_^', 'badge': '13483237824a6d46dc9c97d445dfc093'}, 'primary_guild': {'identity_guild_id': '1216429758431232150', 'identity_enabled': True, 'tag': '^_^', 'badge': '13483237824a6d46dc9c97d445dfc093'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-05 20:22:38] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-05 20:22:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-9njv",{"micros":0.0}]']}}
[2025-06-05 20:22:38] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-05 20:22:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-06-05 20:22:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Sentinel', 'primary_guild': None, 'mfa_enabled': True, 'id': '1379850740423458826', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6194', 'clan': None, 'bot': True, 'avatar': '6357efd974bd2a509d1ab7de39d8b76c'}, 'session_type': 'normal', 'session_id': '612c749f677b4ad008df0765a3dacc6e', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '937487586207891537'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['frankfurt', 'frankfurt-two', 'warsaw', 'milan', 'rotterdam'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1379850740423458826', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-9njv",{"micros":94666,"calls":["id_created",{"micros":473,"calls":[]},"session_lookup_time",{"micros":377,"calls":[]},"session_lookup_finished",{"micros":20,"calls":[]},"discord-sessions-prd-2-22",{"micros":93029,"calls":["start_session",{"micros":65182,"calls":["discord-api-rpc-598865fd7-7stwd",{"micros":55948,"calls":["get_user",{"micros":8700},"get_guilds",{"micros":3672},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":1069},"apex_user_experiments",{"micros":4},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":10645,"calls":[]},"guilds_started",{"micros":68,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":0,"calls":[]},"presence_connect",{"micros":17070,"calls":[]},"connect_finished",{"micros":17074,"calls":[]},"build_ready",{"micros":21,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":11,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-06-05 20:22:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-05 20:22:38] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 612c749f677b4ad008df0765a3dacc6e).
[2025-06-05 20:22:38] [DEBUG   ] discord.client: Dispatching event connect
